IPN,Category,MFR Part #,Footprint,Description,JLCPCB Part #,JLCPCB Parts Qty,Global Sourcing Parts Qty,Consigned Parts Qty,Unit Price($),Total Price($)
JLC-C575416,Optoelectronics,LTST-C194KFKT,0603,130° 162.5mcd 20mA 2V 605nm 611nm Orange Water Clear 0603 LED Indication - Discrete ROHS,C575416,0,0,0,0,0
JLC-C5842375,Resistors,RC0603FR-13220RL,0603,-55℃~+155℃ 100mW 220Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,C5842375,3914,0,0,0.01,27.15
JLC-C629440,Interface,MCP23017T-E/SO,SOIC-28-300mil,-40℃~+125℃ 1.7MHz 1.8V~5.5V 16 3mA 3uA 600mV 8 8mA I2C Interrupt Output SOIC-28-300mil I/O Expanders ROHS,C629440,20,0,0,1.46,29.1
JLC-C688858,Amplifiers/Comparators,LM358D,SOIC-8,-40℃~+85℃ 1MHz 2 300V/ms 30V 3V~30V 40mA 40nV/√Hz@1kHz 430uA 45nA 5nA 80dB 9mV SOIC-8 Operational Amplifier ROHS,C688858,0,0,0,0,0
JLC-C7288939,Optoelectronics,IN-S63ASR,0603,-30℃~+85℃ 120° 150mcd 2.2V 20mA 622nm 630nm 75mW Red Water Clear 0603 LED Indication - Discrete ROHS,C7288939,4000,0,0,0.07,255.29
JLC-C7499856,Transistors/Thyristors,2301V,SOT-23,-55℃~+150℃ 1 P-Channel 185pF 2.2nC@4.5V 2.3A 20V 25pF 400mV 800mW 95mΩ SOT-23 MOSFETs ROHS,C7499856,3000,0,0,0.01,17.48
JLC-C878901,Transistors/Thyristors,DMN4468LSS-13-VB,SO-8,"-55℃~+150℃@(Tj) 1 N-Channel 13A 3V 4.1W 6.8nC@5V 73pF@15V 800pF@15V 8mΩ@10V,10A SO-8 MOSFETs ROHS",C878901,15,0,0,0.18,2.69
JLC-C881901,Resistors,CR-03JA7---3K3,0603,-55℃~+155℃ 100mW 3.3kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,C881901,0,0,0,0,0
JLC-C965799,Optoelectronics,XL-1608SURC-06,0603,-40℃~+85℃ 120° 2.3V 20mA 225mcd 50mW 620nm~630nm 625nm Red Top-mount Water Clear 0603 LED Indication - Discrete ROHS,C965799,3160,0,0,0.01,5.87
JLC-C965800,Optoelectronics,XL-1608UOC-06,0603,-40℃~+85℃ 120° 2.3V 20mA 315mcd 50mW 600nm~610nm 605nm Orange Water Clear op View Mount 0603 LED Indication - Discrete ROHS,C965800,3618,0,0,0.01,12.77
JLC-C965803,Optoelectronics,XL-1608UYC-04,0603,-40℃~+85℃ 120° 2.3V 20mA 210mcd 50mW 585nm~595nm 590nm Water Clear Yellow op View Mount 0603 LED Indication - Discrete ROHS,C965803,2390,0,0,0.01,10.54
JLC-C965804,Optoelectronics,XL-1608UGC-04,0603,-40℃~+85℃ 120° 20mA 3.3V 515nm~535nm 525nm 70mW 810mcd Discrete Diode Emerald Green Water Clear op View Mount 0603 LED Indication - Discrete ROHS,C965804,0,0,0,0,0
JLC-C965806,Optoelectronics,XL-1608SYGC-04,0603,-40℃~+85℃ 120° 2.4V 20mA 50mW 50mcd 565nm~575nm 572nm Water Clear Yellow Green op View Mount 0603 LED Indication - Discrete ROHS,C965806,4000,0,0,0.01,16.9
JLC-C965807,Optoelectronics,XL-1608UBC-04,0603,120° 20mA 3.3V 300mcd 455nm~475nm 470nm 70mW Blue Top-mount Water Clear 0603 LED Indication - Discrete ROHS,C965807,3190,0,0,0.01,7.27
JLC-C965808,Optoelectronics,XL-1608UWC-04,0603,-40℃~+85℃ 120° 130mcd 13700K~33000K 2.7V 20mA 70mW White Yellow Lens op View Mount 0603 LED Indication - Discrete ROHS,C965808,2790,0,0,0.01,6.49
